City_ID,City,Lat,Lng,Max Temp,Humidity,Pressure,Cloudiness,Wind Speed,Country,Date
114,tainan,22.9908,120.2133,87.87,61.0,1008.0,40.0,3.44,TW,1720915235.0
115,taoudenni,22.6783,-3.9836,100.74,6.0,1003.0,0.0,9.69,ML,1720915236.0
116,maputo,-25.9653,32.5892,60.48,82.0,1016.0,0.0,3.44,MZ,1720915238.0
117,lebu,-37.6167,-73.65,46.36,88.0,1023.0,38.0,6.55,CL,1720915239.0
118,melenki,55.3343,41.6295,64.81,81.0,1014.0,100.0,5.86,RU,1720915240.0
119,gummi,12.1436,5.1081,80.91,70.0,1012.0,96.0,8.41,NG,1720915241.0
120,mount gambier,-37.8333,140.7667,47.14,90.0,1019.0,32.0,2.75,AU,1720915242.0
121,sturgeon bay,44.8342,-87.377,78.78,60.0,1016.0,0.0,10.36,US,1720915113.0
122,baume-les-dames,47.353,6.3612,54.99,94.0,1015.0,3.0,2.55,FR,1720915245.0
123,mandalgovi,45.7625,106.2708,63.46,67.0,1008.0,100.0,12.48,MN,1720915246.0
124,anadyr,64.75,177.4833,66.7,52.0,1003.0,20.0,13.42,RU,1720915247.0
125,geraldton,-28.7667,114.6,48.61,87.0,1018.0,75.0,10.36,AU,1720915081.0
126,hailar,49.2,119.7,81.82,42.0,1007.0,93.0,15.08,CN,1720915249.0
127,cabo san lucas,22.8909,-109.9124,85.6,81.0,1013.0,15.0,7.0,MX,1720915129.0
128,egilsstadir,65.2653,-14.3948,51.71,76.0,1013.0,0.0,6.91,IS,1720915252.0
129,karratha,-20.7377,116.8463,69.55,56.0,1016.0,3.0,4.97,AU,1720915253.0
130,hawaiian paradise park,19.5933,-154.9731,81.88,73.0,1018.0,100.0,5.75,US,1720915254.0
131,iqaluit,63.7506,-68.5145,51.53,81.0,1008.0,75.0,13.8,CA,1720915003.0
132,ljusdal,61.8288,16.0913,57.15,80.0,1013.0,100.0,6.78,SE,1720915257.0
133,howrah,22.5892,88.3103,82.4,100.0,997.0,75.0,3.44,IN,1720915258.0
134,elliot lake,46.3834,-82.6331,73.8,68.0,1017.0,46.0,7.2,CA,1720915055.0
135,udachny,66.4167,112.4,73.71,60.0,1011.0,96.0,8.86,RU,1720915260.0
136,georgetown,5.4112,100.3354,80.55,79.0,1008.0,20.0,0.0,MY,1720915261.0
137,ilulissat,69.2167,-51.1,42.82,87.0,1001.0,75.0,6.91,GL,1720915263.0
138,jamestown,42.097,-79.2353,80.24,50.0,1020.0,0.0,5.75,US,1720915122.0
139,sungai penuh,-2.0833,101.3833,64.9,92.0,1012.0,30.0,3.04,ID,1720915265.0
140,ust'-kut,56.7938,105.7672,62.6,76.0,1007.0,90.0,5.7,RU,1720915266.0
141,nova vicosa,-17.8919,-39.3719,77.18,51.0,1023.0,62.0,7.45,BR,1720915267.0
142,el dorado,38.7666,-120.5177,95.85,25.0,1013.0,68.0,3.09,US,1720915269.0
143,afaahiti,-17.75,-149.2833,76.87,96.0,1013.0,100.0,18.86,PF,1720915270.0
144,stanley,54.868,-1.6985,52.29,97.0,1011.0,75.0,10.36,GB,1720915271.0
145,lembar,,,,,,,,,
146,hamilton,39.1834,-84.5333,88.43,58.0,1020.0,0.0,8.99,US,1720915016.0
147,kingston,17.997,-76.7936,86.95,74.0,1016.0,20.0,6.91,JM,1720915013.0
148,phan thiet,10.9333,108.1,78.91,82.0,1006.0,88.0,10.63,VN,1720915276.0
149,tarnogskiy gorodok,60.4997,43.5761,59.09,83.0,1013.0,92.0,4.59,RU,1720915277.0
150,matias romero,16.8833,-95.0333,77.61,87.0,1016.0,89.0,13.09,MX,1720915278.0
151,smithers,54.7804,-127.1743,73.72,38.0,1014.0,75.0,12.66,CA,1720915279.0
152,cooper's town,26.8667,-77.5167,84.07,79.0,1022.0,72.0,13.22,BS,1720915281.0
153,nelson bay,-32.7167,152.15,56.1,67.0,1012.0,1.0,3.0,AU,1720915282.0
154,hanceville,34.0607,-86.7675,91.2,56.0,1020.0,76.0,5.32,US,1720915283.0
155,zhezqazghan,47.7833,67.7667,67.44,59.0,999.0,46.0,5.73,KZ,1720915284.0
156,vadso,70.0744,29.7487,52.68,93.0,1019.0,0.0,9.22,NO,1720915285.0
157,tshabong,-26.05,22.45,45.9,44.0,1022.0,0.0,9.35,BW,1720915286.0
158,wuhu,31.3366,118.3755,76.48,97.0,1007.0,100.0,4.43,CN,1720915288.0
159,coquimbo,-29.9533,-71.3436,51.53,79.0,1020.0,40.0,6.91,CL,1720915208.0
160,nikolayevsk-on-amure,53.1406,140.73,67.71,65.0,1011.0,91.0,2.71,RU,1720915290.0
161,dalbandin,28.8947,64.4101,85.35,20.0,998.0,0.0,5.44,PK,1720915292.0
162,saipan,15.1355,145.701,84.63,79.0,1010.0,19.0,17.74,MP,1720915293.0
163,mungwi,-10.1732,31.3694,53.24,75.0,1019.0,0.0,3.33,ZM,1720915294.0
164,klyuchi,52.2667,79.1667,66.97,80.0,1005.0,0.0,5.68,RU,1720915296.0
165,georgievka,49.3314,81.5761,73.47,43.0,1003.0,91.0,13.11,KZ,1720915297.0
166,tura,25.5198,90.2201,76.66,96.0,1000.0,98.0,4.88,IN,1720915298.0
167,carneys point,39.7112,-75.4702,86.77,79.0,1018.0,20.0,1.99,US,1720915299.0
168,sechura,-5.5569,-80.8222,66.65,74.0,1012.0,94.0,17.72,PE,1720915300.0
169,gowurdak,37.8124,66.0466,78.42,24.0,1002.0,3.0,10.16,TM,1720915301.0
170,balabac,7.9868,117.0645,81.16,80.0,1008.0,99.0,11.41,PH,1720915303.0
171,inekar,,,,,,,,,
172,natal,-5.795,-35.2094,74.05,83.0,1016.0,0.0,14.97,BR,1720915136.0
173,cable beach,,,,,,,,,
174,villa mercedes,-33.6757,-65.4578,46.71,35.0,1026.0,0.0,7.87,AR,1720915221.0
175,ponta delgada,37.7333,-25.6667,66.92,77.0,1016.0,20.0,6.91,PT,1720915206.0
176,chonchi,-42.6128,-73.8092,47.41,96.0,1023.0,92.0,1.19,CL,1720915310.0
177,massawa,15.6097,39.45,95.54,49.0,1002.0,91.0,1.48,ER,1720915311.0
178,lambarene,-0.7001,10.2406,71.15,84.0,1015.0,96.0,3.56,GA,1720915312.0
179,esmeralda,21.8525,-78.1169,82.4,79.0,1018.0,82.0,13.06,CU,1720915313.0
180,caleta olivia,-46.4393,-67.5281,47.35,47.0,1018.0,77.0,7.56,AR,1720915297.0
181,coahuayana de hidalgo,18.7,-103.6583,86.7,63.0,1012.0,57.0,5.28,MX,1720915316.0
182,tazovsky,67.4667,78.7,47.59,72.0,1012.0,59.0,12.21,RU,1720915317.0
183,lompoc,34.6391,-120.4579,77.68,78.0,1014.0,86.0,5.01,US,1720915246.0
184,huanta,-12.9333,-74.25,68.4,65.0,1018.0,15.0,7.61,PE,1720915320.0
185,tabira,-7.5908,-37.5394,64.76,81.0,1019.0,93.0,9.6,BR,1720915321.0
186,greymouth,-42.4667,171.2,50.94,60.0,1026.0,0.0,7.61,NZ,1720915322.0
187,grantsville,40.5999,-112.4644,101.01,15.0,1010.0,0.0,6.91,US,1720915172.0
188,machico,32.7,-16.7667,71.13,84.0,1018.0,20.0,2.3,PT,1720915325.0
189,campbell river,50.0163,-125.2446,84.58,34.0,1014.0,20.0,9.22,CA,1720915205.0
190,hotan,37.0997,79.9269,79.32,27.0,999.0,100.0,6.58,CN,1720915327.0
191,i-n-salah,27.1935,2.4607,98.19,9.0,1008.0,0.0,15.59,DZ,1720915328.0
192,moyale,3.5167,39.0584,66.94,74.0,1016.0,83.0,13.69,KE,1720915329.0
193,laojunmiao,39.8333,97.7333,58.93,77.0,1009.0,76.0,7.07,CN,1720915331.0
194,uturoa,-16.7333,-151.4333,79.65,81.0,1012.0,83.0,14.29,PF,1720915332.0
195,lyantor,61.6195,72.1555,56.01,89.0,1011.0,75.0,13.49,RU,1720915333.0
196,punta arenas,-53.15,-70.9167,44.71,76.0,1015.0,75.0,26.46,CL,1720915334.0
197,kachia,9.8667,7.95,69.26,97.0,1015.0,98.0,3.38,NG,1720915335.0
198,kuala tungkal,-0.8167,103.4667,75.87,83.0,1009.0,94.0,6.93,ID,1720915337.0
199,touros,-5.1989,-35.4608,74.43,83.0,1016.0,46.0,14.23,BR,1720915338.0
200,kerikeri,-35.2268,173.9474,58.91,85.0,1021.0,100.0,18.99,NZ,1720915339.0
201,sengkang,-4.1279,120.0297,75.45,90.0,1012.0,65.0,3.22,ID,1720915340.0
202,new norfolk,-42.7826,147.0587,47.91,87.0,1012.0,100.0,4.0,AU,1720915342.0
203,nar'yan-mar,67.6713,53.087,54.77,92.0,1014.0,98.0,5.86,RU,1720915343.0
204,madre de deus,-12.7408,-38.6208,77.05,77.0,1021.0,30.0,11.14,BR,1720915344.0
205,frolovo,49.7713,43.6622,61.21,46.0,1014.0,22.0,8.5,RU,1720915345.0
206,simanggang,1.2472,111.4528,75.18,94.0,1009.0,71.0,2.3,MY,1720915346.0
207,ketchikan,55.3422,-131.6461,65.34,78.0,1022.0,100.0,1.1,US,1720915348.0
208,galveston,29.3669,-94.9669,82.04,79.0,1020.0,100.0,1.99,US,1720915297.0
209,hithadhoo,-0.6,73.0833,83.1,74.0,1008.0,100.0,4.88,MV,1720915350.0
210,ataq,14.5377,46.8319,80.58,44.0,1006.0,100.0,6.38,YE,1720915351.0
211,parramos,14.6078,-90.8031,71.92,89.0,1018.0,50.0,5.77,GT,1720915352.0
212,rio grande,-32.035,-52.0986,50.11,85.0,1030.0,100.0,14.05,BR,1720915353.0
213,igarka,67.4667,86.5833,62.82,80.0,1008.0,83.0,0.94,RU,1720915354.0
214,teshi old town,5.5836,-0.1072,77.56,88.0,1015.0,75.0,9.22,GH,1720915356.0
215,nova venecia,-18.7106,-40.4006,66.18,68.0,1024.0,14.0,3.22,BR,1720915285.0
216,vila velha,-20.3297,-40.2925,69.94,92.0,1024.0,20.0,1.99,BR,1720915269.0
217,talara,-4.5772,-81.2719,64.83,89.0,1012.0,99.0,19.37,PE,1720915359.0
218,pakxan,18.3778,103.6601,80.92,93.0,1004.0,93.0,3.06,LA,1720915360.0
219,walvis bay,-22.9575,14.5053,52.09,75.0,1023.0,0.0,10.94,NA,1720915362.0
220,khovd,48.0056,91.6419,69.91,40.0,1007.0,47.0,2.93,MN,1720915363.0
221,pangody,65.85,74.4859,51.13,67.0,1014.0,98.0,9.44,RU,1720915185.0
222,kone,-21.0595,164.8658,77.29,71.0,1011.0,98.0,4.63,NC,1720915365.0
223,richards bay,-28.783,32.0377,61.12,34.0,1013.0,0.0,7.78,ZA,1720915366.0
224,bandon,51.7469,-8.7425,58.59,92.0,1013.0,20.0,2.24,IE,1720915368.0
225,leava,-14.3,-178.1667,80.24,83.0,1011.0,100.0,12.93,WF,1720915369.0
226,derzhavinsk,51.1,66.3167,64.35,74.0,1001.0,86.0,9.01,KZ,1720915370.0
227,kruisfontein,-34.0033,24.7314,48.88,87.0,1017.0,14.0,11.81,ZA,1720915371.0
228,bafra,41.5678,35.9069,72.48,71.0,1007.0,12.0,6.87,TR,1720915372.0
